Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34
,86,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,97,,86,,82,,79,77,76,,,,,,,,,,,,,,,,,,,,,,
,97,,97,,86,,82,,79,77,77,,,,,,,,,,,,,,,,,,,,,,
,97,,96,,86,,76,,76,,,,,,,,,,,,,,,,,,,,,,,,
,97,,96,,86,,81,,79,,,,,,,,,,,,,,,,,,,,,,,,
,97,,96,,86,,81,,79,,,,,,,,,,,,,,,,,,,,,,,,
67,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,95,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,91,90,85,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,91,90,85,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,89,86,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,94,89,87,85,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,
95,83,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,91,89,88,88,88,88,88,88,83,81,81,81,81,80,77,,,,,,,,,,,,,,,,,,
95,91,89,88,88,88,88,88,88,83,81,81,81,81,80,77,,,,,,,,,,,,,,,,,,
97,91,89,88,88,88,88,88,88,83,81,81,81,81,80,77,,,,,,,,,,,,,,,,,,
97,91,89,87,85,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,91,89,87,85,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,92,89,87,85,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,92,89,87,85,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,94,89,87,85,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,95,95,93,92,89,86,83,81,80,76,73,69,62,61,61,,,,,,,,,,,,,,,,,,
83,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,97,94,91,88,86,83,82,80,77,76,73,69,67,,,,,,,,,,,,,,,,,,,,
